No,Nama,Rating,Comments,links
1,Frame kacamata cat eye wanita (4 Variansi Lensa),3,Ga enakin bgt dipake nya biasa kalo beli kacamata ditoko lain minus 3 .25 selalu enakin dipakenya. Ini pusing bgt dipakenya parah kacamata nya jg bener² ga enakin dan gak nyaman dipakenya,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
2,Frame kacamata cat eye wanita (4 Variansi Lensa),3,Barang lumayan Bagus ya . cuman pengemasan 3hari. Paket diperjalanan 4hari. Total hampir seminggu. Seperti belanja d luar negri,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
3,Frame kacamata cat eye wanita (4 Variansi Lensa),3,Sayangnya frame sebelah kanan sudah lecet2 dan dipakainya merosot trus kurang kencang atau kurang megang,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
4,Frame kacamata cat eye wanita (4 Variansi Lensa),3,Bahan bagus pengiriman cepat . dapet wadah lap sama air pembersih kacamata,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
5,Frame kacamata cat eye wanita (4 Variansi Lensa),2,Baru seminggu dipake udah patah aja huhuhu,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
6,Frame kacamata cat eye wanita (4 Variansi Lensa),2,kacamatanya bagus . tp lensanya bikin pusing. ditanyain ke seller katanya adaptasi saja. kayanya minus lensanya kurang. padahal saya beli 2 kacamata di waktu yg sama namun tempat lain . dan di kacamata yg lainnya tak ada masalah dengan lensa minusnya.,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
7,Frame kacamata cat eye wanita (4 Variansi Lensa),4,Barang yg di pesan lengkap . sesuai dengan pesanan juga. Pengemasan & pengirimannnya lumayan. Tdk ada yg kurang maupun lebih. Terimakasih seller . belum di coba dibawah matahari dan layar laptop.,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
8,Frame kacamata cat eye wanita (4 Variansi Lensa),4,kacamatanya bagus banget . pengiriman juga cepet cuma ada minus dibagian telinganya agak patah sedikit jadi copot terus . overall bagus kok cuma diperhatiin lagi ya min :'),https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
9,Frame kacamata cat eye wanita (4 Variansi Lensa),1,Pemasangan lensa tidak rapi tidak nyaman di gunakan frame ringkih ..nyesel sii,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
10,Frame kacamata cat eye wanita (4 Variansi Lensa),5,Bagus banget kacamatanya simple tapi elegan pas udh dipake jadi bagus banget suka banget,https://shopee.co.id/(COD)-Frame-kacamata-cat-eye-wanita-GRATIS-Lensa-MINUS-Photocromic-minus-anti-radiasi-Kacamata-hitam-kacamata-fashion-i.616518273.14354284514
11,Frame kacamata Lentur(Paket frame+lensa),3,Barang sesuai yang di foto . Modelnya bagus . tapi sayang Pas di pakai Longgar Banget jadi kurang nyaman dipakai . nunduk aja bisa aja jatuh . Gagangnya juga gampang terkelupas . soalnya sudah ada goresan. Next nya lebih diperhatiin.,https://shopee.co.id/Frame-kacamata-LENTUR-(Paket-frame-lensa)-kacamata-photocromic-minus-kacamata-antiradiasi-kacamata-murah-kacamata-fashion-kacamata-kekinian-kacamata-pria-wanita-kacamata-photocromic-kacamata-minus-kacamata-2127-i.616518273.15048739385?sp_atk=2a557581-f358-47a6-9b3c-54484751c64d&xptdk=2a557581-f358-47a6-9b3c-54484751c64d
12,Frame kacamata Lentur(Paket frame+lensa),3,pengiriman supeeeeeerrŕr lamaaa....kapok dah,https://shopee.co.id/Frame-kacamata-LENTUR-(Paket-frame-lensa)-kacamata-photocromic-minus-kacamata-antiradiasi-kacamata-murah-kacamata-fashion-kacamata-kekinian-kacamata-pria-wanita-kacamata-photocromic-kacamata-minus-kacamata-2127-i.616518273.15048739385?sp_atk=2a557581-f358-47a6-9b3c-54484751c64d&xptdk=2a557581-f358-47a6-9b3c-54484751c64d
13,Frame kacamata Lentur(Paket frame+lensa),3,Ada baret dilensa nya,https://shopee.co.id/Frame-kacamata-LENTUR-(Paket-frame-lensa)-kacamata-photocromic-minus-kacamata-antiradiasi-kacamata-murah-kacamata-fashion-kacamata-kekinian-kacamata-pria-wanita-kacamata-photocromic-kacamata-minus-kacamata-2127-i.616518273.15048739385?sp_atk=2a557581-f358-47a6-9b3c-54484751c64d&xptdk=2a557581-f358-47a6-9b3c-54484751c64d
14,Frame kacamata Lentur(Paket frame+lensa),3,Tangkai nya menurut saya kurang kokoh . trs pas pemotongang kaca sedikit sekali kurang rapi . . . . tapi kalo di nilai keseluruhan ya 80 lah... puas dengan barang nya . . . . cuma pengiriman nya menurut saya lama . mungkin karna gratis ongkir jadi lama,https://shopee.co.id/Frame-kacamata-LENTUR-(Paket-frame-lensa)-kacamata-photocromic-minus-kacamata-antiradiasi-kacamata-murah-kacamata-fashion-kacamata-kekinian-kacamata-pria-wanita-kacamata-photocromic-kacamata-minus-kacamata-2127-i.616518273.15048739385?sp_atk=2a557581-f358-47a6-9b3c-54484751c64d&xptdk=2a557581-f358-47a6-9b3c-54484751c64d
15,Frame kacamata Lentur(Paket frame+lensa),2,kaca mata depan nya gak pas ada yang terlalu maju kali ada yang bengkok  . habis itu gagang kaca mata gak simetris jadi kelihatan mireng kalo di pake..,https://shopee.co.id/Frame-kacamata-LENTUR-(Paket-frame-lensa)-kacamata-photocromic-minus-kacamata-antiradiasi-kacamata-murah-kacamata-fashion-kacamata-kekinian-kacamata-pria-wanita-kacamata-photocromic-kacamata-minus-kacamata-2127-i.616518273.15048739385?sp_atk=2a557581-f358-47a6-9b3c-54484751c64d&xptdk=2a557581-f358-47a6-9b3c-54484751c64d
16,Frame kacamata Lentur(Paket frame+lensa),2,agak kurang pas waktu dipake,https://shopee.co.id/Frame-kacamata-LENTUR-(Paket-frame-lensa)-kacamata-photocromic-minus-kacamata-antiradiasi-kacamata-murah-kacamata-fashion-kacamata-kekinian-kacamata-pria-wanita-kacamata-photocromic-kacamata-minus-kacamata-2127-i.616518273.15048739385?sp_atk=2a557581-f358-47a6-9b3c-54484751c64d&xptdk=2a557581-f358-47a6-9b3c-54484751c64d
17,Frame kacamata Lentur(Paket frame+lensa),4,cepet sampainya karna sama2 di priok tp sayang kacamatanya miring jd di pakai tidak nyaman hrs ke optik lg minta tolong benerin selebihnya good,https://shopee.co.id/Frame-kacamata-LENTUR-(Paket-frame-lensa)-kacamata-photocromic-minus-kacamata-antiradiasi-kacamata-murah-kacamata-fashion-kacamata-kekinian-kacamata-pria-wanita-kacamata-photocromic-kacamata-minus-kacamata-2127-i.616518273.15048739385?sp_atk=2a557581-f358-47a6-9b3c-54484751c64d&xptdk=2a557581-f358-47a6-9b3c-54484751c64d
18,Frame kacamata Lentur(Paket frame+lensa),4,Penjualnya cepat respon terimakasih barangnya bagus,https://shopee.co.id/Frame-kacamata-LENTUR-(Paket-frame-lensa)-kacamata-photocromic-minus-kacamata-antiradiasi-kacamata-murah-kacamata-fashion-kacamata-kekinian-kacamata-pria-wanita-kacamata-photocromic-kacamata-minus-kacamata-2127-i.616518273.15048739385?sp_atk=2a557581-f358-47a6-9b3c-54484751c64d&xptdk=2a557581-f358-47a6-9b3c-54484751c64d
